Mon 12/11/2017 at 17:50:53.55 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Mon 12/11/2017 at 17:50:53.55 	 IT101307 	 devind 						
Tue 12/12/2017 at  9:13:34.95 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 12/12/2017 at  9:14:10.12 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 12/12/2017 at  9:25:06.03 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 12/12/2017 at  9:25:32.32 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 12/12/2017 at  9:48:57.62 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 12/12/2017 at  9:50:08.27 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 12/12/2017 at 18:39:09.71 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Tue 12/12/2017 at 18:39:09.71 	 IT101307 	 devind 						
Wed 12/13/2017 at  7:05:06.61 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Wed 12/13/2017 at  7:05:06.61 	 IT101307 	 devind 						
Wed 12/13/2017 at  7:46:47.75 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 12/13/2017 at  7:46:47.75 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Wed 12/13/2017 at  7:46:57.28 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Thu 12/14/2017 at  7:56:35.81 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 12/14/2017 at  7:56:44.80 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Fri 12/15/2017 at 14:05:12.72 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Fri 12/15/2017 at 14:05:33.89 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Fri 12/15/2017 at 20:12:48.47 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Fri 12/15/2017 at 20:12:48.47 	 IT101307 	 devind 						
Sat 12/16/2017 at 13:46:08.06 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sat 12/16/2017 at 13:46:08.06 	 IT101307 	 devind 						
Sun 12/17/2017 at  9:37:52.31 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Sun 12/17/2017 at  9:37:52.31 	 IT101307 	 devind 						
Sun 12/17/2017 at 12:25:30.77 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Sun 12/17/2017 at 12:25:30.77 	 IT101307 	 devind 						
Sun 12/17/2017 at 14:09:34.72 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Sun 12/17/2017 at 14:09:34.72 	 IT101307 	 devind 						
Sun 12/17/2017 at 21:40:56.83 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Sun 12/17/2017 at 21:40:56.83 	 IT101307 	 devind 						
Mon 12/18/2017 at  8:17:48.26 	 IT101307 	  10.9.19.103(Preferred)  	 devind Started Update 					
Mon 12/18/2017 at  8:19:07.03 	 IT101307 	 devind Completed Update from \\NETWORKSRV02IND 						
Tue 12/19/2017 at  8:37:47.83 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Tue 12/19/2017 at  8:37:47.83 	 IT101307 	 devind 						
Wed 12/20/2017 at  7:44:45.50 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 12/20/2017 at  7:44:45.50 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Wed 12/20/2017 at  7:44:53.78 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Thu 12/21/2017 at  8:57:08.26 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Thu 12/21/2017 at  8:57:51.77 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Thu 12/21/2017 at 16:23:07.38 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Thu 12/21/2017 at 16:23:25.83 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Fri 12/22/2017 at  7:50:13.17 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 12/22/2017 at  7:50:13.17 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Fri 12/22/2017 at  7:50:21.94 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Fri 12/22/2017 at 12:38:16.42 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 12/22/2017 at 12:38:16.42 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Fri 12/22/2017 at 12:38:24.59 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 12/26/2017 at 12:10:05.33 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Tue 12/26/2017 at 12:10:05.33 	 IT101307 	 devind 						
Tue 12/26/2017 at 15:06:41.93 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Tue 12/26/2017 at 15:06:41.93 	 IT101307 	 devind 						
Thu 12/28/2017 at 10:38:34.31 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Thu 12/28/2017 at 10:38:34.31 	 IT101307 	 devind 						
Thu 12/28/2017 at 12:48:50.16 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Thu 12/28/2017 at 12:48:50.16 	 IT101307 	 devind 						
